SettlementID	CountryID	MPAID	SettlementCode	SettlementName	Treatment	Mainland	District.Name	District.Code						
1	360	1	1	Araway	1	0	TELUK MAYALIBIT	9108041000						
2	360	1	2	Beo	1	0	TELUK MAYALIBIT	9108041000						
3	360	1	3	Go	1	0	TELUK MAYALIBIT	9108041000						
4	360	1	4	Kabilol	1	0	TELUK MAYALIBIT	9108041000						
5	360	1	5	Kalikoto	1	0	TELUK MAYALIBIT	9108041000						
6	360	1	6	Lopintol	1	0	TELUK MAYALIBIT	9108041000						
7	360	1	7	Mumes	1	0	TELUK MAYALIBIT	9108041000						
8	360	1	8	Waifoi	1	0	TELUK MAYALIBIT	9108041000						
9	360	1	9	Warsamdin	1	0	TELUK MAYALIBIT	9108041000						
10	360	1	10	Wenook/Waremak	1	0	TELUK MAYALIBIT	9108041000						
11	360	1	11	Yensner	1	0	WAIGEO TIMUR	9108061000						
12	360	1	12	Kabui	0	0	MEOS MANSAR	9108042000						
13	360	1	13	Kapidiri	0	0	WAIGEO UTARA	9108060000						
14	360	1	14	Waiyai	0	0	WAIGEO SELATAN	9108040000						
15	360	2	15	Bawei	1	1	TELUK UMAR	9104061000						
16	360	2	18	Goni	1	1	TELUK UMAR	9104061000						
17	360	2	17	Masipawa	0	1	NAPAN	9104090000						
18	360	2	19	Masyarah	0	0	ORKERI	9409011000						
20	360	2	20	Napan	0	1	NAPAN	9104090000						
21	360	2	21	Napan Yaur	1	1	TELUK UMAR	9104061000						
22	360	2	22	Noridwar	1	0	ROSWAR	9103061000						
23	360	2	23	Pakreki	0	0	ORKERI	9409011000						
24	360	2	24	Rawar	0	0	ORKERI	9409011000						
25	360	2	25	Waprak/Saref	1	0	ROSWAR	9103061000						
26	360	2	26	Saribi	0	0	ORKERI	9409011000						
27	360	2	27	Syeiwar	1	0	ROSWAR	9103061000						
28	360	2	28	Supmander	0	0	ORKERI	9409011000						
29	360	2	29	Wansra/Wansa	0	0	ORKERI	9409011000						
30	360	2	30	Weinami	0	1	NAPAN	9104090000						
31	360	2	31	Weititindau	1	0	RUMBERPON	9103070000						
32	360	2	32	Yariyari	1	0	RUMBERPON	9103070000						
33	360	2	33	Yembepon	0	0	ORKERI	9409011000						
34	360	2	34	Yembikiri II	1	0	RUMBERPON	9103070000						
35	360	2	35	Yenbeba	0	0	ORKERI	9409011000						
36	360	2	36	Yeretuar	1	1	TELUK UMAR	9104061000						
37	360	2	37	Yomakan	1	0	RUMBERPON	9103070000						
38	360	2	38	Yomber	1	0	ROSWAR	9103061000						
39	360	4	39	Balal/Dibalal	1	0	KOFIAU	9108021000						
40	360	4	40	Deer	1	0	KOFIAU	9108021000						
41	360	4	41	Mikiran	1	0	KOFIAU	9108021000						
42	360	4	42	Tolobi	1	0	KOFIAU	9108021000						
43	360	4	43	Pulau Tikus	0	0	KEPULAUAN SEMBILAN	9108023000						
44	360	4	44	Satukurano	0	0	KEPULAUAN SEMBILAN	9108023000						
45	360	4	45	Wejim Barat	0	0	KEPULAUAN SEMBILAN	9108023000						
46	360	4	46	Wejim Timur	0	0	KEPULAUAN SEMBILAN	9108023000						
47	360	6	47	Biga	1	0	MISOOL BARAT	9108012000						
48	360	6	48	Dabatan	1	0	MISOOL SELATAN	9108011000						
49	360	6	49	Fanfalap	1	0	MISOOL SELATAN	9108011000						
50	360	6	50	Gamta	1	0	MISOOL BARAT	9108012000						
51	360	6	51	Harapan Jaya	1	0	MISOOL SELATAN	9108011000						
52	360	6	52	Kapatcol	1	0	MISOOL BARAT	9108012000						
53	360	6	53	Kareyepop	1	0	MIXOOL SELATAN	9108011000						
54	360	6	54	Lilinta	1	0	MISOOL BARAT	9108012000						
55	360	6	55	Magei	1	0	MISOOL BARAT	9108012000						
56	360	6	56	Tomolol	1	0	MISOOL TIMUR	9108022000						
57	360	6	57	Usaha Jaya	1	0	MISOOL TIMUR	9108022000						
58	360	6	58	Yellu	1	0	MISOOL SELATAN	9108011000						
59	360	6	59	Aduwei	0	0	MISOOL	9108020000						
60	360	6	60	Atkari	0	0	MISOOL	9108020000						
61	360	6	61	Folley	0	0	MISOOL TIMUR	9108022000						
62	360	6	62	Lenmalas	0	0	MISOOL TIMUR	9108022000						
63	360	6	63	Salafen	0	0	MISOOL	9108020000						
64	360	6	64	Solal	0	0	MISOOL	9108020000						
65	360	6	65	Waigama	0	0	MISOOL	9108020000						
66	360	5	1	Mnier	0	0	WARWARBOMI	9108061000						
67	360	5	2	Pupier	0	0	WAIGEO TIMUR	9108080000						
68	360	5	3	Urbinasopen	0	0	WAIGEO TIMUR	9108080000						
69	360	5	4	Kurkapa	1	0	MEOS MANSAR	9108042000						
70	360	5	5	Arborek	1	0	MEOS MANSAR	9108042000						
71	360	5	6	Sawinggrai	1	0	MEOS MANSAR	9108042000						
72	360	5	7	Sauandarek	1	0	MEOS MANSAR	9108042000						
73	360	5	8	Wamega	1	0	SALAWATI UTARA	9108031000						
74	360	5	9	Solol	1	0	SALAWATI UTARA	9108031000						
75	360	5	10	Wailebet	1	0	SELAT SAGAWIN	9108032000						
76	360	5	11	Arefi	1	0	SELAT SAGAWIN	9108032000						
77	360	5	12	Yensawai	1	0	SELAT SAGAWIN	9108032000						
78	360	5	13	Yenbeser	1	0	WAIGEO SELATAN	9108040000						
79	360	5	14	Saprokren	1	0	WAIGEO SELATAN	9108040000						
80	360	5	15	Saonek	1	0	WAIGEO SELATAN	9108040000						
81	360	3	1	Adijaya	1	0	BURUWAY	9102010000						
82	360	3	2	Kambala	1	1	BURUWAY	9102010000						
83	360	3	3	Yarona	1	1	BURUWAY	9102010000						
84	360	3	4	Hia	1	1	BURUWAY	9102010000						
85	360	3	5	Lumira	1	1	KAIMANA	9102030000						
86	360	3	6	Lobo	1	1	KAIMANA	9102030000						
87	360	3	7	Namatota	1	1	KAIMANA	9102030000						
88	360	3	8	Mai Mai	1	1	KAIMANA	9102030000						
89	360	3	9	Murano	1	1	KAIMANA	9102030000						
90	360	3	10	Marsi	1	1	KAIMANA	9102030000						
91	360	3	11	Tanggaromi	1	1	KAIMANA	9102030000						
92	360	3	12	Siawatan	1	1	TELUK ETNA	9102040000						
93	360	3	13	Bamana	1	1	TELUK ETNA	9102040000						
94	360	3	14	Rururmo	1	1	TELUK ETNA	9102040000						
