HouseholdID	SettlementID	PaternalEthnicity	Eth.Num	Eth.Iso
1	76	TUAL	104	MLK
2	76	BIAK	23	BHW
3	76	BIAK NUMFOR	23	BHW
4	76	AMBON	1	ABS
5	96	BUTON	43	CIA
6	96	BUTON	43	CIA
7	1	DAAM	142	SLZ
8	1	LAGANYA	86	LCC
9	1	LAGANYA	86	LCC
10	1	LAGANYA	86	LCC
11	1	LAGANYA	86	LCC
12	1	LAGANYA	86	LCC
13	1	MAYA	142	SLZ
14	1	MAYA	142	SLZ
15	1	MAYA	142	SLZ
16	1	MAYA	142	SLZ
17	1	MAYA	142	SLZ
18	1	MAYA	142	SLZ
19	4	MAYA	142	SLZ
20	4	MAYA	142	SLZ
21	4	BIAK	23	BHW
22	4	MAYA	142	SLZ
23	4	MAYA	142	SLZ
24	4	MAYA	142	SLZ
25	2	MAYA	142	SLZ
26	2	TERNATE	156	TFT
27	2	TERNATE	156	TFT
28	2	DAAM-MAYA	142	SLZ
29	2	INANWATAN	152	SZP
30	2	GEBE	51	GEI
31	4	MAYA	142	SLZ
32	4	MAYA	142	SLZ
33	4	MAYA	142	SLZ
34	4	MAYA	142	SLZ
35	4	MAYA	142	SLZ
36	4	MAYA	142	SLZ
37	8	MAYA	142	SLZ
38	8	MAYA	142	SLZ
39	8	MAYA	142	SLZ
40	8	MAYA	142	SLZ
41	8	BIAK	23	BHW
42	8	MAYA	142	SLZ
43	2	KENDARI	85	LBW
44	2	MAYA	142	SLZ
45	2	KAWE	71	KGB
46	2	BANIMO-HALMAHERA	104	MLK
47	2	MAYA	142	SLZ
48	2	HALMAHERA-MAYA	142	SLZ
49	2	TERNATE	156	TFT
50	2	MALUKU-MANIPA	92	MAL
51	2	MAYA	142	SLZ
52	2	BIAK	23	BHW
53	2	MAYA	142	SLZ
54	2	MAYA	142	SLZ
55	2	MAYA	142	SLZ
56	2	MAYA	142	SLZ
57	3	AMBEL-MAYA	143	SLZ-WGO
58	3	AMBEL-MAYA	143	SLZ-WGO
59	3	AMBEL-MAYA	143	SLZ-WGO
60	3	AMBEL-MAYA	143	SLZ-WGO
61	3	AMBEL-MAYA	143	SLZ-WGO
62	3	AMBEL-MAYA	143	SLZ-WGO
63	3	AMBEL-MAYA	143	SLZ-WGO
64	3	AMBEL-MAYA	143	SLZ-WGO
65	3	AMBEL-MAYA	143	SLZ-WGO
66	3	AMBEL-MAYA	143	SLZ-WGO
67	3	AMBEL-MAYA	143	SLZ-WGO
68	3	AMBEL-MAYA	143	SLZ-WGO
69	3	AMBEL-MAYA	143	SLZ-WGO
70	3	AMBEL-MAYA	143	SLZ-WGO
71	3	AMBEL-MAYA	143	SLZ-WGO
72	3	AMBEL-MAYA	143	SLZ-WGO
73	3	AMBEL-MAYA	143	SLZ-WGO
74	3	AMBEL-MAYA	143	SLZ-WGO
75	3	AMBEL-MAYA	143	SLZ-WGO
76	3	AMBEL-MAYA	143	SLZ-WGO
77	3	AMBEL-MAYA	143	SLZ-WGO
78	4	MAYA	142	SLZ
79	10	BIAK	23	BHW
80	10	AMBEL	171	WGO
81	10	AMBEL-MAYA	143	SLZ-WGO
82	10	AMBEL	171	WGO
83	10	BIAK	23	BHW
84	10	BIAK	23	BHW
85	4	MAYA	142	SLZ
86	4	MAYA	142	SLZ
87	4	FAKFAK	48	FAK
88	4	FAKFAK	48	FAK
89	4	MAYA	142	SLZ
90	4	MAYA	142	SLZ
91	4	MAYA	142	SLZ
92	4	MAYA	142	SLZ
93	4	MAYA	142	SLZ
94	4	MAYA	142	SLZ
95	4	MAYA	142	SLZ
96	5	AMBEL-MAYA	143	SLZ-WGO
97	5	AMBEL-MAYA	143	SLZ-WGO
98	5	BIAK-BESER	23	BHW
99	5	AMBEL-MAYA	143	SLZ-WGO
100	5	AMBEL-MAYA	143	SLZ-WGO
101	5	AMBEL-MAYA	143	SLZ-WGO
102	5	AMBEL-MAYA	143	SLZ-WGO
103	5	AMBEL-MAYA	143	SLZ-WGO
104	5	AMBEL-MAYA	143	SLZ-WGO
105	5	BIAK-BESER	23	BHW
106	5	AMBEL-MAYA	143	SLZ-WGO
107	5	AMBEL-MAYA	143	SLZ-WGO
108	5	BIAK-BESER	23	BHW
109	5	AMBON-MALUKU	1	ABS
110	5	AMBEL-MAYA	143	SLZ-WGO
111	5	MALUKU-TERNATE	92	MAL
112	5	AMBEL-MAYA	143	SLZ-WGO
113	5	AMBEL-MAYA	143	SLZ-WGO
114	5	BIAK	23	BHW
115	5	AMBEL-MAYA	143	SLZ-WGO
116	5	AMBEL-MAYA	143	SLZ-WGO
117	5	AMBEL-MAYA	143	SLZ-WGO
118	5	AMBEL-MAYA	143	SLZ-WGO
119	5	AMBEL-MAYA	143	SLZ-WGO
120	5	AMBEL-MAYA	143	SLZ-WGO
121	5	AMBEL-MAYA	143	SLZ-WGO
122	5	AMBEL-MAYA	143	SLZ-WGO
123	5	AMBEL-MAYA	143	SLZ-WGO
124	5	BIAK-NUMFOR	23	BHW
125	5	AMBEL-MAYA	143	SLZ-WGO
126	5	AMBEL-MAYA	143	SLZ-WGO
127	5	AMBEL-MAYA	143	SLZ-WGO
128	6	BATAK	34	BTD
129	6	MAYA	142	SLZ
130	6	MAYA	142	SLZ
131	6	MAYA	142	SLZ
132	6	BUTON	43	CIA
133	6	INANWATAN	152	SZP
134	6	GORONTALO	56	GOR
135	6	MAYA	142	SLZ
136	6	BUGIS	37	BUG
137	6	MAYA	142	SLZ
138	6	MAYA	142	SLZ
139	8	MAYA	142	SLZ
140	9	SERUI-WAROPEN	139	SEU-WRP
141	9	MAYA	142	SLZ
142	9	AMBEL-MAYA	143	SLZ-WGO
143	9	SERUI	138	SEU
144	9	BIAK	23	BHW
145	9	BIAK-BESER	23	BHW
146	9	BIAK-BESER	23	BHW
147	9	MAYA	142	SLZ
148	9	BIAK-BESER	23	BHW
149	9	BIAK	23	BHW
150	9	MAYA	142	SLZ
151	9	MAYA	142	SLZ
152	9	MAYA	142	SLZ
153	9	BIAK	23	BHW
154	9	BIAK	23	BHW
155	9	BIAK	23	BHW
156	9	MAYA	142	SLZ
157	10	MAYA	142	SLZ
158	10	AMBON	1	ABS
159	10	MERAUKE	95	MER
160	10	AMBEL	171	WGO
161	10	MAYA	142	SLZ
162	10	BIAK	23	BHW
163	10	BIAK	23	BHW
164	10	AMBEL-MAYA	143	SLZ-WGO
165	10	MAYA	142	SLZ
166	10	AMBEL	171	WGO
167	10	FAKFAK	48	FAK
168	10	SANGER	21	BHP
169	6	BATAK	34	BTD
170	6	MAYA	142	SLZ
171	6	MAYA	142	SLZ
172	6	MAYA	142	SLZ
173	6	AREFI	129	RAJ
174	6	MAYA	142	SLZ
175	6	KEY	70	KEI
176	7	BIAK	23	BHW
177	7	BIAK-SOWEK	23	BHW
178	7	BIAK	23	BHW
179	7	BIAK	23	BHW
180	7	BIAK	23	BHW
181	7	BIAK-SOWEK	23	BHW
182	7	ASLI-BIAK	14	ASI-BHW
183	7	ASLI-BIAK	14	ASI-BHW
184	8	KEY	70	KEI
185	8	MAYA	142	SLZ
186	8	MAYA	142	SLZ
187	8	MAYA	142	SLZ
189	8	MAYA	142	SLZ
190	8	MAYA	142	SLZ
191	8	MAYA	142	SLZ
192	8	MAYA	142	SLZ
194	8	BIAK	23	BHW
195	8	MAYA	142	SLZ
197	8	MAYA	142	SLZ
198	8	MAYA	142	SLZ
199	9	MAYA-WAWIYAI	144	SLZ-WUY
200	9	MAYA	142	SLZ
201	9	BIAK	23	BHW
202	9	BIAK	23	BHW
203	9	MAYA	142	SLZ
204	9	BIAK	23	BHW
205	12	BIAK	23	BHW
206	12	MANBAT	180	XMT
207	12	BIAK	23	BHW
208	12	BIAK	23	BHW
209	12	BIAK	23	BHW
210	12	BIAK	23	BHW
211	12	WANDAMEN	168	WAD
212	12	BIAK-BESER	23	BHW
213	12	BIAK	23	BHW
214	13	LAGANYA-MAYA	87	LCC-SLZ
215	13	MAYA	142	SLZ
216	13	AMBEL-MAYA	143	SLZ-WGO
217	13	AMBEL-MAYA	143	SLZ-WGO
218	13	BIAK	23	BHW
219	13	AMBEL-MAYA	143	SLZ-WGO
220	13	MAYA	142	SLZ
221	13	AMBEL-MAYA	143	SLZ-WGO
222	13	MAYA	142	SLZ
223	45	BIAK BESER	23	BHW
224	45	BIAK BESER	23	BHW
225	45	BIAK BESER	23	BHW
226	45	BIAK BESER	23	BHW
227	45	BIAK BESER	23	BHW
228	48	JAWA	66	JAV
229	48	SERAM	52	GES
230	48	TERNATE	156	TFT
231	48	SERAM	52	GES
232	48	TIDORE	164	TVO
233	48	MISOOL	102	MIS
234	9	MAYA	142	SLZ
235	9	AMBON-MALUKU	1	ABS
236	9	AMBERBAKEN	8	AKC
237	9	AMBERBAKEN	8	AKC
238	9	WANDAMEN	168	WAD
239	9	TORAJA	136	SDA
240	9	BIAK	23	BHW
241	9	MAYA	142	SLZ
242	9	TORAJA	136	SDA
243	9	WANDAMEN	168	WAD
244	9	BIAK	23	BHW
245	9	MAYA	142	SLZ
246	9	AMBEL-MAYA	143	SLZ-WGO
247	9	BIAK	23	BHW
248	9	LARANTUKA	140	SLP
249	9	AMBEL-MAYA	143	SLZ-WGO
250	9	BIAK	23	BHW
251	9	BIAK-BESER	23	BHW
252	9	BUGIS	37	BUG
253	9	TORAJA	136	SDA
254	9	BIAK	23	BHW
255	9	MAYA	142	SLZ
256	9	WANDAMEN	168	WAD
257	9	BIAK	23	BHW
258	9	BIAK	23	BHW
259	9	BIAK	23	BHW
260	9	MAYA	142	SLZ
261	9	MAYA	142	SLZ
262	9	MOI	112	MXN
263	9	MAYA	142	SLZ
264	11	BIAK	23	BHW
265	11	BIAK	23	BHW
266	11	BIAK-BESER	23	BHW
267	11	BIAK-NUMFOR	23	BHW
268	11	BIAK	23	BHW
269	11	BIAK	23	BHW
270	14	MAYA	142	SLZ
271	14	AMBEL	171	WGO
272	14	MAYA-WAWIYAI	144	SLZ-WUY
273	39	BIAK BESER	23	BHW
274	39	BIAK RAJA AMPAT	23	BHW
275	39	BIAK BESER	23	BHW
276	40	BIAK BESER	23	BHW
277	40	BIAK BESER	23	BHW
