HouseholdID	MPAID	SettlementID	InterviewYear	YearsResident	TimeMarket	PaternalEthnicity	Religion	PrimaryLivelihood	SecondaryLivelihood	TertiaryLivelihood	FreqFish	FreqSaleFish	PercentIncomeFish	FreqEatFish	PercentProteinFish	MajorFishTechnique	EconomicStatusTrend	AssetCar	AssetTruck	AssetCarTruck	AssetBicycle	AssetMotorcycle	AssetBoatNoMotor	AssetBoatOutboard	AssetBoatInboard	AssetLandlinePhone	AssetCellPhone	AssetPhoneCombined	AssetTV	AssetRadio	AssetStereo	AssetCD	AssetDVD	AssetEntertain	AssetSatellite	AssetGenerator	CookingFuel	FSNotEnough	FSDidNotLast	FSBalancedDiet	FSAdultSkip	FSFreqAdultSkip	FSEatLess	FSHungry	FSChildPortion	FSLowCostFood	FSChildSkip	FSFreqChildSkip	FSNoMealChild	RightsAccess	RightsHarvest	RightsManage	RightsExclude	RightsTransfer	SocialConflict	MarineGroup	OtherGroup	PlaceHappy	PlaceFavourite	PlaceMiss	PlaceBest	PlaceFishHere	PlaceBeMyself	Baseline_t2_pairs
4941	5	71	2014	51	0.5	Biak Betew	1	996	996	3	1	1	1	5	4	1	3	0	0		6	2	0	5	0	7	0		4	3	3	3	1		2	2	2	3	3	2	0	994	0	0	0	3	0	994	3	1	1	1	1	0	4	1	1	4	4	4	5	2	4	0
4940	5	71	2014	16	1	Manado	1	7	3	998	1	1	1	4	3	1	2	0	0		0	0	0	0	0	3	0		1	0	2	1	0		0	1	3	2	2	1	1	3	1	1	0	2	1	3	3	1	0	1	1	0	4	0	1	4	4	3	4	4	4	0
4939	5	71	2014	64	3	Raja Ampat	1	1	7	998	994	994	994	4	3	994	3	0	0		0	0	0	1	0	0	1		0	0	2	0	0		0	0	3	3	3	2	0	994	0	0	994	994	994	994	994	1	0	0	0	0	3	0	0	4	4	5	4	3	4	4939
4938	5	71	2014	63	1.5	Biak Raja Ampat (Beser)	1	3	1	1	4	4	4	4	4	1	3	0	0		0	0	1	0	0	3	0		0	0	1	0	0		0	0	3	2	3	1	1	2	1	0	0	3	0	994	3	1	1	1	0	0	3	1	1	4	4	4	4	4	4	4938
4937	5	71	2014	41	2	Biak raja Ampat (Beser)	1	3	998	998	4	4	5	4	4	1	3	0	0		0	0	1	0	0	1	0		0	0	0	0	0		0	0	3	1	3	1	0	994	1	0	0	3	0	994	3	1	1	1	1	0	4	0	1	4	4	4	4	3	4	0
4936	5	71	2014	997	2	Biak Raja Ampat	1	3	996	998	4	997	2	4	2	1	997	0	0		0	0	1	0	0	2	0		1	0	0	0	1		1	1	3	1	3	1	0	994	1	0	0	3	0	994	3	1	0	0	0	0	3	0	1	4	4	4	4	3	4	0
4935	5	71	2014	38	3	Ujung Pandang	2	3	998	998	5	4	5	5	4	1	998	0	0		0	0	0	1	0	2	0		1	0	0	0	0		1	1	3	2	3	2	0	994	0	0	0	3	0	994	3	1	0	1	1	0	4	0	1	5	3	4	4	4	4	4935
4934	5	71	2014	14	2	Biak Raja Ampat	1	3	996	7	5	4	4	5	4	1	2	0	0		1	0	1	1	1	2	0		1	0	2	1	1		0	0	2	2	3	2	0	994	0	0	0	3	0	994	3	1	1	1	1	0	4	0	1	3	5	5	5	5	5	0
4933	5	71	2014	16	4	Raja Ampat Biak	1	1	3	998	1	1	1	4	3	1	4	0	0		0	0	1	0	0	2	0		0	2	2	1	0		0	0	3	2	3	2	0	994	0	0	998	998	998	994	998	1	0	0	0	0	2	0	1	5	3	5	5	5	3	0
4932	5	71	2014	55	2	Biak Raja Ampat	1	3	998	998	3	1	1	4	4	1	2	0	0		0	0	0	0	0	2	0		0	1	2	1	1		0	1	3	1	3	2	1	3	1	0	0	3	0	994	3	1	1	1	1	0	4	0	1	5	3	5	4	3	4	4932
