HouseholdID	CountryID	MPAID	SettlementID	InterviewYear	YearsResident	TimeMarket	PaternalEthnicity	Religion	PrimaryLivelihood	SecondaryLivelihood	TertiaryLivelihood	FreqFish	FreqSaleFish	PercentIncomeFish	FreqEatFish	PercentProteinFish	MajorFishTechnique	EconomicStatusTrend	EconomicStatusReason	EconomicStatusReasonEnglish	AssetCar	AssetTruck	AssetCarTruck	AssetBicycle	AssetMotorcycle	AssetBoatNoMotor	AssetBoatOutboard	AssetBoatInboard	AssetLandlinePhone	AssetCellPhone	AssetPhoneCombined	AssetTV	AssetRadio	AssetStereo	AssetCD	AssetDVD	AssetEntertain	AssetSatellite	AssetGenerator	CookingFuel	HouseholdDeath	HouseholdBirth	FSNotEnough	FSDidNotLast	FSBalancedDiet	FSAdultSkip	FSFreqAdultSkip	FSEatLess	FSHungry	FSChildPortion	FSLowCostFood	FSChildSkip	FSFreqChildSkip	FSNoMealChild	RightsAccess	RightsHarvest	RightsManage	RightsExclude	RightsTransfer	SocialConflict	MarineGroup	NumberMarineGroup	OtherGroup	NumberOtherGroup	VoteDistrict	VoteNational	NumLocalThreat	NumGlobalThreat	NumLocalAction	NumGlobalAction	PlaceHappy	PlaceFavourite	PlaceMiss	PlaceBest	PlaceFishHere	PlaceBeMyself
1	360	5	76	2012	6	4	TUAL	1	1	3	998	4	1	1	4	4	1	2	KARENA DALAM TAHUN INI ADA LAGI MEMBANGUN RUMAH		0	0	0	1	0	0	1	0	2	0	2	1	1	1	1	1	4	1	1	3	0	0	2	3	2	1	3	0	0	0	2	0	998	3	1	1	1	1	0	3	0		1		1	1	3	0	1	0	4	5	4	4	2	4
2	360	5	76	2012	57	4	BIAK	1	1	3	998	5	1	1	5	4	1	3	KARENA HASIL PENDAPATAN KOPRA DAN MAKAN SEHARI-HARI MASIH SAMA SAJA		0	0	0	0	0	2	2	0	1	0	1	0	0	0	0	0	0	0	1	3	0	0	2	3	3	0	994	1	0	0	2	0	994	3	1	1	0	0	0	3	0		1		1	1	2	2	1	1	4	4	4	4	2	4
3	360	5	76	2012	55	1	BIAK NUMFOR	1	1	3	998	5	3	2	5	4	1	4	KARENA MAMA PUNYA PENGHASILAN DARI BAMETI MENJADI SEDIKIT LEBUH BAIK DARI TAHUN KEMARIN		0	0	0	0	0	1	1	0	1	0	1	1	1	1	1	1	4	0	1	3	0	0							0	998	998	998	998	998	1	1	1	1	0	3	0		1		1	1	3	1	1	3	4	5	4	4	4	4
4	360	5	76	2012	7	4	AMBON	1	996	1	998	994	994	994	994	994	994	3	KARENA PENDAPATAN KELUARGA JUGA TIDAK MENENTU JADI BIASA-BIASA SAJA		0	0	0	0	0	0	0	0	2	0	2	1	0	1	1	1	3	0	1	3	0	1	998	3	2	1	3	0	0	1	2	0	994	3	1	0	1	1	0	3	0		1		1	1	2	3	1	1	5	4	4	4	3	4
5	360	3	96	2012	5	3	BUTON	2	7	3	1	4	4	3	4	4	1	4	BELI PALA UNTUK MENJAMIN ANAK SEKOLAH		0	0	0	0	0	1	0	0	0	0	0	1	1	2	1	1	5	0	1	2	0	1	3	3	2	0	994	0	0	0	3	0	994	0	1	1	0	0	0	998	0		0		1	1	0	0	1	1	4	4	4	4	4	4
6	360	3	96	2012	11	2	BUTON	2	1	3	7	3	1	1	4	4	1	3	KARENA PEKERJAAN SUSAH		0	0	0	1	1	0	1	0	1	0	1	1	0	2	0	0	2	1	0	3	0	0	3	3	2	0	994	0	0	0	3	0	994	3	1	1	0	0	0	3	0		0		1	1	0	2	1	1	4	4	3	4	3	4
7	360	1	1	2010	30	993	DAAM	2	3	997	997	993	3	2	1	5	1	3	998		993	993	0	0	0	2	1	0	993	993	0	0	993	993	993	993	1	0	0	3	0	1	3	3	2	0	998	0	0	0	993	993	993	993	1	1	0	0	0	3	0		0		1	1	2	0	1	1	5	5	5	5	5	5
8	360	1	1	2010	34	993	LAGANYA	2	2	3	996	993	5	1	1	5	1	3	Hasil pendapatan langsung dipakai tidak di tabung		993	993	0	0	0	2	2	0	993	993	0	1	993	993	993	993	1	0	0	3	1	0	3	3	2	0	998	0	0	0	993	993	993	993	1	1	1	0	0	2	1		1		1	1	1	1	1	1	5	5	5	5	5	5
9	360	1	1	2010	20	993	LAGANYA	2	3	1	997	993	5	2	2	5	1	4	Harga hasil laut lebih baik tahun ini/meningkat		993	993	0	0	0	2	2	0	993	993	1	1	993	993	993	993	4	0	0	3	0	0	3	3	2	0	998	0	0	0	993	993	993	993	1	1	0	0	0	5	0		1		1	1	2	2	1	1	5	5	5	5	5	5
10	360	1	1	2010	20	993	LAGANYA	2	3	1	7	993	3	3	1	5	1	3	Pendapatan tidak menentu sehingga tidak berpengaruh pada perubahan ekonomi keluarga		993	993	0	0	0	2	1	0	993	993	1	0	993	993	993	993	1	1	0	3	0	0	2	3	2	0	998	0	0	0	993	993	993	993	1	1	1	1	0	5	1		1		1	1	3	5	1	1	5	5	5	5	5	5
