HouseholdID	Eth.Iso	Eth.Num
1	MLK	104
2	BHW	23
3	BHW	23
4	ABS	1
5	CIA	43
6	CIA	43
7	SLZ	142
8	LCC	86
9	LCC	86
10	LCC	86
11	LCC	86
12	LCC	86
13	SLZ	142
14	SLZ	142
15	SLZ	142
16	SLZ	142
17	SLZ	142
18	SLZ	142
19	SLZ	142
20	SLZ	142
21	BHW	23
22	SLZ	142
23	SLZ	142
24	SLZ	142
25	SLZ	142
26	TFT	156
27	TFT	156
28	SLZ	142
29	SZP	152
30	GEI	51
31	SLZ	142
32	SLZ	142
33	SLZ	142
34	SLZ	142
35	SLZ	142
36	SLZ	142
37	SLZ	142
38	SLZ	142
39	SLZ	142
40	SLZ	142
41	BHW	23
42	SLZ	142
43	LBW	85
44	SLZ	142
45	KGB	71
46	MLK	104
47	SLZ	142
48	SLZ	142
49	TFT	156
50	MAL	92
51	SLZ	142
52	BHW	23
53	SLZ	142
54	SLZ	142
55	SLZ	142
56	SLZ	142
57	SLZ-WGO	143
58	SLZ-WGO	143
59	SLZ-WGO	143
60	SLZ-WGO	143
61	SLZ-WGO	143
62	SLZ-WGO	143
63	SLZ-WGO	143
64	SLZ-WGO	143
65	SLZ-WGO	143
66	SLZ-WGO	143
67	SLZ-WGO	143
68	SLZ-WGO	143
69	SLZ-WGO	143
70	SLZ-WGO	143
71	SLZ-WGO	143
72	SLZ-WGO	143
73	SLZ-WGO	143
74	SLZ-WGO	143
75	SLZ-WGO	143
76	SLZ-WGO	143
77	SLZ-WGO	143
78	SLZ	142
79	BHW	23
80	WGO	171
81	SLZ-WGO	143
82	WGO	171
83	BHW	23
84	BHW	23
85	SLZ	142
86	SLZ	142
87	FAK	48
88	FAK	48
89	SLZ	142
90	SLZ	142
91	SLZ	142
92	SLZ	142
93	SLZ	142
94	SLZ	142
95	SLZ	142
96	SLZ-WGO	143
97	SLZ-WGO	143
98	BHW	23
99	SLZ-WGO	143
100	SLZ-WGO	143
101	SLZ-WGO	143
102	SLZ-WGO	143
103	SLZ-WGO	143
104	SLZ-WGO	143
105	BHW	23
106	SLZ-WGO	143
107	SLZ-WGO	143
108	BHW	23
109	ABS	1
110	SLZ-WGO	143
111	MAL	92
112	SLZ-WGO	143
113	SLZ-WGO	143
114	BHW	23
115	SLZ-WGO	143
116	SLZ-WGO	143
117	SLZ-WGO	143
118	SLZ-WGO	143
119	SLZ-WGO	143
120	SLZ-WGO	143
121	SLZ-WGO	143
122	SLZ-WGO	143
123	SLZ-WGO	143
124	BHW	23
125	SLZ-WGO	143
126	SLZ-WGO	143
127	SLZ-WGO	143
128	BTD	34
129	SLZ	142
130	SLZ	142
131	SLZ	142
132	CIA	43
133	SZP	152
134	GOR	56
135	SLZ	142
136	BUG	37
137	SLZ	142
138	SLZ	142
139	SLZ	142
140	SEU-WRP	139
141	SLZ	142
142	SLZ-WGO	143
143	SEU	138
144	BHW	23
145	BHW	23
146	BHW	23
147	SLZ	142
148	BHW	23
149	BHW	23
150	SLZ	142
151	SLZ	142
152	SLZ	142
153	BHW	23
154	BHW	23
155	BHW	23
156	SLZ	142
157	SLZ	142
158	ABS	1
159	MER	95
160	WGO	171
161	SLZ	142
162	BHW	23
163	BHW	23
164	SLZ-WGO	143
165	SLZ	142
166	WGO	171
167	FAK	48
168	BHP	21
169	BTD	34
170	SLZ	142
171	SLZ	142
172	SLZ	142
173	RAJ	129
174	SLZ	142
175	KEI	70
176	BHW	23
177	BHW	23
178	BHW	23
179	BHW	23
180	BHW	23
181	BHW	23
182	ASI-BHW	14
183	ASI-BHW	14
184	KEI	70
185	SLZ	142
186	SLZ	142
187	SLZ	142
189	SLZ	142
190	SLZ	142
191	SLZ	142
192	SLZ	142
194	BHW	23
195	SLZ	142
197	SLZ	142
198	SLZ	142
199	SLZ-WUY	144
200	SLZ	142
201	BHW	23
202	BHW	23
203	SLZ	142
204	BHW	23
205	BHW	23
206	XMT	180
207	BHW	23
208	BHW	23
209	BHW	23
210	BHW	23
211	WAD	168
212	BHW	23
213	BHW	23
214	LCC-SLZ	87
215	SLZ	142
216	SLZ-WGO	143
