IndividualEducation	ed.level
6 SD	2
SMP (Sekolah Menengah Pertama)	3
SR	3
SD	2
SMA	4
SD (Sekolah Dasar)	2
SR (Sekolah Rakyat)	3
SPGAK (Sekolah Pendidikan Guru Agama Kristen)	5
S2 (Master)	5
D3 (Diploma)	5
PGA (Pendidikan Guru Agama)	5
SMP	3
SMU	4
SKKP	4
sd 5	2
smp	3
5 sd	2
0	0
sd	2
4 sd	2
4 SD	2
spgak	5
SPI	995
PGSD	5
2 SMP	3
5 SD	2
1 SMP	3
2 SD	2
 4 SD	2
3 SMP	3
3 SD	2
SPK	5
SPGAK	5
SPGJ	5
SMK	4
 3 SD	2
SPG	5
MA N	5
997	995
7 SMP	3
8 SMP	3
998	0
1 SR	3
3 SR	3
12 SMA	4
12 sma	4
7 smp	3
6 sd	2
3 sd	2
1O SMA	4
9 SMP	3
10 SMP	3
3 smp	3
S 1	5
3sd	2
5SD	2
6SD	2
3SD	2
9 smp	3
1 SD	2
STT (D3)	5
12 SMA/3 SPG	4
SMEA	4
6 SR	3
ST	5
sma	4
S1	5
STM	4
SGO	995
995	995
PGA (Sederajat dengan SMA)	5
SMKK	4
VVS	5
SMP (2)	3
SMP (3)	3
SD (5)	2
SD (3)	2
SMP (1)	3
SMA (2)	4
D3	5
SD0	2
SMK (Sekolah Menengah Kejuruan)	4
SGB	995
2 smp	3
2 SR	3
11 SMA	4
12SMA	4
SD(5)	2
D2	5
SARJANA	5
SPG KELAS 2	5
SR (3)	3
SMEP	4
SMP (9)	3
SD (6)	2
3 spma	3
SMA (Sekolah Menengah Atas)	4
MsT	5
3 SMA	4
12 ST	5
SD (4)	2
MTS	5
D2 PGSD	5
LPD	995
SR (Sekolah Rakyat) 	3
S1 (Sarjana)	5
SLTA (Sekolah Lanjutan Tingkat Atas)	4
S1 (Sarjana) 	5
MSU	5
SR (sekolah Rakyat)	3
D2 (Diploma 2)	5
STM (Sekolah Teknik Menengah)	4
Mahasiswa	5
SPG (Sekolah Pendidikan Guru)	5
ST (Sekolah Teknik)	5
UT (Unit Teknis)	5
SPK (Sekolah Pendidikan Keperawatan)	5
SPGJ (Sekolah Pendidikan Guru Jemaat)	5
SD (sekolah Dasar)	2
AKABA (UNTAG)	5
SMEP (Sekolah Menengah Ekonomi Pertama) 	4
SLTP (Sekolah Lanjutan Tingkat Pertama)	4
STM (Sekolah Teknik Menengah) 	4
PGAK (Pendidikan Guru Agama Kristen)	5
SMU (Sekolah Menengah Umum)	4
D3 (Diploma/Ahli Madya)	5
SMEA (Sekolah menengah Ekonomi Atas)	4
SPP	5
SPGK	5
4	995
PBS	995
STTJ	5
SD/SR	2
ODO	995
D3 Keuangan	5
PGA	5
KPG	4
SMa	4
SPMA	4
12 SMK	4
 9 SMP	3
12 SMP	3
9 PGA	5
10 SMA	4
12 SPG	5
smp 1	3
10 STM	4
sma 2	4
2 sma	4
2 SMEP	4
2 sd	2
sr	3
smp 2	3
s1	5
3 SLTA	3
6 D3	5
2 SMA	4
spk	5
tidak sekolah	0
MAHASISWA TINGKAT AKHIR S1	5
1 SMA	4
3 SPGJ	5
3 SPG	5
smp (2)	3
8 ST/SD	4
II PGAN	5
11 STM	4
d2pgsd	5
9 ST	5
DIPLOMA	5
2 SM	4
12 STM	4
smp(1)	3
12 SUPM	4
12 PSG	4
9 SLTP	5
SGEO	995
UNIVERSITAS TERBUKA	5
MASTER	5
MAHASISWA (4)	5
52	995
SEKOLAH THEOLOGIA	5
MA	5
D3 PGSD	5
D3 PKN	5
11 SUPM	4
S1 STH	5
S.Pdk	5
6 SA	4
PGAK	5
3 SMK	4
 SMP	3
D3 Akper	5
 1 SD	2
IFS	995
D1	5
STLA	5
2 SmA	4
D3 Teologia	5
2 SPG	5
2 STM	4
2 SMEA	4
3 Mts	5
AKPER	5
3 STM	4
2 SGB	5
10 SMKK	4
13 MHS	5
15 MHS	5
12 PGA	5
12 KPG	4
11 SMK	4
12 SPK	5
12 PGAK	5
11 smk	4
6 SL	995
8 ST	4
D3 AKPER	5
3 sr	3
STT	5
2sd	2
s 1	5
splt	995
11 sma	4
8 smp	3
999	995
unamin	5
10 sma	4
8 sd	2
1 sd	2
6sd	2
9SMP	3
D2 PSG	5
4SD	2
11SMEA	4
S1 semester 5	5
7SMP	3
kulia	5
8SMP	3
3smp	3
1 kp	995
12 SPMA	5
11 SMU	4
SG	995
12 SMU	4
6 Sd	2
12 SMEA	4
SMP 9	3
stm	4
9 SMA	4
996	995
12 ATM	4
MPVS	995
PGSD (S1)	5
71	995
SUPM	4
Akper	5
SMP Kelas 1	3
Sd	2
SMA Kelas 1	4
SPGAAK	5
MAHASISWA	5
SKMA	4
STT GKI	5
STM (Sekolah Teknik Mesin)	4
LTA	995
D2 UT	5
SPAG	5
SR (SEKOLAH RAKYAT)	3
D3 (Kesehatan)	5
STH	5
SLTA	4
SD(2)	2
SMP(2)	3
SMKTI(3)	995
D2 (PGSD)	5
SR(2)	3
S1 PAK	5
FKIP(3)	5
SD(4)	2
S1 Perik	5
Sarjana	5
SMA (12)	4
SD (2)	2
S1 (TEOLOGIA)	5
SMA (3)	4
SD(6)	2
sd (1)	2
STM (2)	4
SD KELAS 5	2
SD KELAS 6	2
SMP KELAS 2	3
SMP KELAS 3	3
SD KELAS 2	2
SMP KELAS 9	3
S1 PID	5
D2 AMPD	5
SMA KELAS 12	4
SD KELAS 1	2
SMP KELAS 8	3
SD kelas 6	2
SMP KELAS 1	3
3 SR (SD)	3
S1 (4)	5
SMEP (2)	4
D3 Keperawatan	5
Amd. Par	5
SMP(3)	3
S-1	5
SD (60	2
SR (1)	3
SR(3)	3
D3 Pertambangan	5
SINPM	995
Paket c	5
SPE-AK	995
LTS	995
SNA	995
SI	995
S1 PGSD	5
SD (1)	2
