UNIPA_HH,UNIPA_Pre2016_HH,n,NAs
householdid,householdid,6999,0
mpa,mpa,0,0
settlement,settlement,0,0
kkcode,kkcode,8,0
respondent,respondent,0,0
secondaryrespondent,secondaryrespondent,4,0
primaryinterviewer,primaryinterviewer,6,0
secondaryinterviewer,secondaryinterviewer,6,0
fieldcoordinator,fieldcoordinator,2,0
latdeg,latdeg,2,0
latmin,latmin,0,0
latsec,latsec,6,0
latfrac,latfrac,6,0
latsphere,latsphere,0,0
londeg,londeg,2,0
lonmin,lonmin,0,0
lonsec,lonsec,8,0
lonfrac,lonfrac,8,0
lonsphere,lonsphere,0,0
interviewday,interviewday,4,0
interviewmonth,interviewmonth,2,0
interviewyear,interviewyear,0,0
surveyversionnumber,surveyversionnumber,1595,1594
usualfish,usualfish,8,8
householdsize,householdsize,0,0
yearsresident,yearsresident,6,0
timemarket,timemarket,6,0
paternalethnicity,paternalethnicity,6,0
maternalethnicity,maternalethnicity,7,0
religion,religion,0,0
primarylivelihood,primarylivelihood,2,0
secondarylivelihood,secondarylivelihood,6,0
tertiarylivelihood,tertiarylivelihood,2,0
freqfishtime,freqfishtime,8,0
freqsalefish,freqsalefish,8,0
percentincomefish,percentincomefish,8,0
freqeatfish,freqeatfish,6,0
percentproteinfish,percentproteinfish,4,0
majorfishtechnique,majorfishtechnique,6,0
lessproductivedaysfishing,lessproductivedaysfishing,8,0
poorcatch,poorcatch,8,0
poorcatchunits,poorcatchunits,37,0
poorfishincomel,poorfishincomel,9,0
poorfishunits,poorfishunits,544,182
moreproductivedaysfishing,moreproductivedaysfishing,8,0
goodcatch,goodcatch,9,1
goodcatchunits,goodcatchunits,8,0
goodfishincomel,goodfishincomel,9,1
goodfishunits,goodfishunits,554,182
economicstatustrend,economicstatustrend,4,0
economicstatusreason,economicstatusreason,65,1
economicstatusreasonenglish,economicstatusreasonenglish,0,0
assetcar,assetcar,0,0
assettruck,assettruck,0,0
assetcartruck,assetcartruck,0,0
assetbicycle,assetbicycle,0,0
assetmotorcycle,assetmotorcycle,0,0
assetboatnomotor,assetboatnomotor,4,0
assetboatoutboard,assetboatoutboard,4,0
assetboatinboard,assetboatinboard,0,0
assetlandlinephone,assetlandlinephone,8,0
assetcellphone,assetcellphone,0,0
assetphonecombined,assetphonecombined,8,0
assettv,assettv,6,0
assetradio,assetradio,0,0
assetstereo,assetstereo,4,0
assetcd,assetcd,4,0
assetdvd,assetdvd,2,0
assetentertain,assetentertain,6,0
assetsatellite,assetsatellite,2,0
assetgenerator,assetgenerator,0,0
cookingfuel,cookingfuel,0,0
householddeath,householddeath,0,0
householdbirth,householdbirth,2,0
fsnotenough,fsnotenough,4,0
fsdidnotlast,fsdidnotlast,6,0
fsbalanceddiet,fsbalanceddiet,6,0
fsadultskip,fsadultskip,2,0
fsfreqadultskip,fsfreqadultskip,2,0
fseatless,fseatless,4,0
fshungry,fshungry,0,0
fschildportion,fschildportion,2,0
fslowcostfood,fslowcostfood,6,0
fschildskip,fschildskip,2,0
fsfreqchildskip,fsfreqchildskip,0,0
fsnomealchild,fsnomealchild,2,0
rightsaccess,rightsaccess,0,0
rightsharvest,rightsharvest,6,0
rightsmanage,rightsmanage,4,0
rightsexclude,rightsexclude,4,0
rightstransfer,rightstransfer,0,0
socialconflict,socialconflict,6,0
marinegroup,marinegroup,2,0
numbermarinegroup,numbermarinegroup,0,0
othergroup,othergroup,2,0
numberothergroup,numberothergroup,0,0
votedistrict,votedistrict,0,0
votenational,votenational,0,0
numlocalthreat,numlocalthreat,2,0
numglobalthreat,numglobalthreat,8,0
numlocalaction,numlocalaction,8,0
numglobalaction,numglobalaction,8,0
placehappy,placehappy,6,0
placefavourite,placefavourite,6,0
placemiss,placemiss,0,0
placebest,placebest,4,0
placefishhere,placefishhere,2,0
placebemyself,placebemyself,6,0
anyotherinfo,anyotherinfo,6,0
willingparticipant,willingparticipant,6,0
notes,notes,8,0
dataentrycomplete,dataentrycomplete,0,0
datacheckcomplete,datacheckcomplete,0,0
dataentryid,dataentryid,2,0
datacheckid,datacheckid,2,2
worstdaycatch,worstdaycatch,356,356
worstdaycatchunits,worstdaycatchunits,355,355
bestdaycatch,bestdaycatch,353,353
bestdaycatchunits,bestdaycatchunits,355,355
averageincomel,averageincomel,353,353
averageincomeunits,averageincomeunits,355,355
worstincomel,worstincomel,353,353
worstincomeunits,worstincomeunits,355,355
bestincomel,bestincomel,353,353
bestincomeunits,bestincomeunits,355,355
index,index,5317,0
