Area,Area Id,Variable Name,Variable Id,Year,Value,Symbol
Algeria,4,Agricultural water withdrawal,4250,1980,2.22,
Algeria,4,Agricultural water withdrawal,4250,1990,2.7,
Algeria,4,Agricultural water withdrawal,4250,2001,3.502,L
Algeria,4,Agricultural water withdrawal,4250,2012,4.99,I
Angola,7,Agricultural water withdrawal,4250,1987,0.365,
Angola,7,Agricultural water withdrawal,4250,2000,0.21,L
Angola,7,Agricultural water withdrawal,4250,2005,0.1467,L
Benin,53,Agricultural water withdrawal,4250,1985,0.064,
Benin,53,Agricultural water withdrawal,4250,1990,0.0823,I
Benin,53,Agricultural water withdrawal,4250,1994,0.097,
Benin,53,Agricultural water withdrawal,4250,2001,0.059,I
Botswana,20,Agricultural water withdrawal,4250,1992,0.054,
Botswana,20,Agricultural water withdrawal,4250,1995,0.0638,I
Botswana,20,Agricultural water withdrawal,4250,2000,0.08,
Burkina Faso,233,Agricultural water withdrawal,4250,1985,0.23,
Burkina Faso,233,Agricultural water withdrawal,4250,1992,0.303,
Burkina Faso,233,Agricultural water withdrawal,4250,2001,0.4207,L
Burkina Faso,233,Agricultural water withdrawal,4250,2005,0.4207,L
Burundi,29,Agricultural water withdrawal,4250,1987,0.064,
Burundi,29,Agricultural water withdrawal,4250,2000,0.222,I
Cabo Verde,35,Agricultural water withdrawal,4250,1990,0.022,
Cabo Verde,35,Agricultural water withdrawal,4250,2000,0.02,L
Cabo Verde,35,Agricultural water withdrawal,4250,2004,0.025,L
Cameroon,32,Agricultural water withdrawal,4250,1987,0.14,
Cameroon,32,Agricultural water withdrawal,4250,1992,0.14,
Cameroon,32,Agricultural water withdrawal,4250,2000,0.737,L
Central African Republic,37,Agricultural water withdrawal,4250,1987,4.00E-04,L
Central African Republic,37,Agricultural water withdrawal,4250,2000,4.00E-04,L
Central African Republic,37,Agricultural water withdrawal,4250,2005,4.00E-04,L
Chad,39,Agricultural water withdrawal,4250,1987,0.148,
Chad,39,Agricultural water withdrawal,4250,2002,0.6722,L
Chad,39,Agricultural water withdrawal,4250,2005,0.6722,L
Comoros,45,Agricultural water withdrawal,4250,1999,0.0047,
Congo,46,Agricultural water withdrawal,4250,1987,0.0044,
Congo,46,Agricultural water withdrawal,4250,2002,0.004,I
